time,open,high,low,close,volume,oi
2017-08-25 09:00,278.7000,278.7500,278.6500,278.7000,1552.0000,360272.0000
2017-08-25 09:01,278.7000,278.8000,278.6500,278.7500,1452.0000,360720.0000
2017-08-25 09:02,278.7500,278.8500,278.7000,278.8500,602.0000,360592.0000
2017-08-25 09:03,278.8500,278.8500,278.8000,278.8000,322.0000,360568.0000
2017-08-25 09:04,278.8000,278.8500,278.8000,278.8000,48.0000,360580.0000
2017-08-25 09:05,278.8000,278.8500,278.8000,278.8000,256.0000,360670.0000
2017-08-25 09:06,278.8000,278.8500,278.8000,278.8500,94.0000,360654.0000
2017-08-25 09:07,278.8500,278.8500,278.8000,278.8500,410.0000,360562.0000
2017-08-25 09:08,278.8500,278.9000,278.8500,278.8500,116.0000,360488.0000
2017-08-25 09:09,278.8500,278.9000,278.8500,278.9000,38.0000,360518.0000
2017-08-25 09:10,278.9000,278.9000,278.8000,278.8500,260.0000,360600.0000
2017-08-25 09:11,278.8500,278.8500,278.8000,278.8500,76.0000,360594.0000
2017-08-25 09:12,278.8500,278.9000,278.8500,278.9000,152.0000,360634.0000
2017-08-25 09:13,278.9000,278.9000,278.8500,278.9000,52.0000,360608.0000
2017-08-25 09:14,278.9000,278.9000,278.8500,278.9000,216.0000,360544.0000
2017-08-25 09:15,278.9000,278.9500,278.8500,278.9000,156.0000,360574.0000
2017-08-25 09:16,278.9500,278.9500,278.9000,278.9000,240.0000,360524.0000
2017-08-25 09:17,278.9000,278.9500,278.8500,278.9000,250.0000,360472.0000
2017-08-25 09:18,278.9000,278.9000,278.8500,278.8500,182.0000,360348.0000
2017-08-25 09:19,278.8500,278.8500,278.8000,278.8000,270.0000,360420.0000
2017-08-25 09:20,278.8000,278.8500,278.7500,278.7500,408.0000,360546.0000
2017-08-25 09:21,278.7500,278.8000,278.7000,278.7500,1126.0000,360892.0000
2017-08-25 09:22,278.7500,278.8000,278.7000,278.7500,694.0000,361314.0000
2017-08-25 09:23,278.7500,278.7500,278.7000,278.7000,248.0000,361454.0000
2017-08-25 09:24,278.7000,278.8000,278.7000,278.7500,1098.0000,361736.0000
2017-08-25 09:25,278.7500,278.8000,278.7500,278.7500,792.0000,362044.0000
2017-08-25 09:26,278.7500,278.7500,278.7000,278.7000,444.0000,362118.0000
2017-08-25 09:27,278.7000,278.7500,278.7000,278.7500,300.0000,362322.0000
2017-08-25 09:28,278.7000,278.7500,278.7000,278.7500,360.0000,362548.0000
2017-08-25 09:29,278.7500,278.8000,278.7000,278.8000,430.0000,362626.0000
2017-08-25 09:30,278.8000,278.8500,278.7500,278.8000,238.0000,362660.0000
2017-08-25 09:31,278.8000,278.9000,278.8000,278.8500,196.0000,362560.0000
2017-08-25 09:32,278.9000,278.9000,278.8500,278.8500,180.0000,362524.0000
2017-08-25 09:33,278.8500,278.9000,278.8000,278.8000,232.0000,362562.0000
2017-08-25 09:34,278.8000,278.8500,278.7500,278.7500,578.0000,362418.0000
2017-08-25 09:35,278.7500,278.8500,278.7500,278.8500,388.0000,362444.0000
2017-08-25 09:36,278.8500,278.8500,278.7500,278.8000,94.0000,362488.0000
2017-08-25 09:37,278.8000,278.8500,278.8000,278.8000,30.0000,362502.0000
2017-08-25 09:38,278.8500,278.8500,278.8000,278.8500,252.0000,362502.0000
2017-08-25 09:39,278.8000,278.8500,278.7500,278.8500,194.0000,362528.0000
2017-08-25 09:40,278.8500,278.8500,278.8000,278.8000,78.0000,362566.0000
2017-08-25 09:41,278.8000,278.8500,278.8000,278.8000,146.0000,362524.0000
2017-08-25 09:42,278.8000,278.8500,278.8000,278.8500,156.0000,362420.0000
2017-08-25 09:43,278.8500,278.8500,278.7500,278.8000,314.0000,362310.0000
