#IF1709.CFE,IF1709,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,open,high,low,last,ask,bid,volume,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
2017/8/22 9:29,3725.2,3725.2,3725.2,3725.2,3726,3725.2,24,3728.8,3728.2,3728,3727,3726,3725.2,3725,3724.8,3724.2,3723.6,1,5,1,1,12,2,2,1,11,3
2017/8/22 9:30,3725.2,3728,3725,3725,3725,3724.8,47,3728.8,3728.2,3727.2,3725.8,3725,3724.8,3724.2,3723.6,3723.2,3723,1,5,1,1,2,1,11,3,2,4
2017/8/22 9:30,3725.2,3728,3725,3725.6,3728.2,3726,61,3729.6,3729.2,3729,3728.8,3728.2,3726,3725.4,3725,3724.8,3724.2,3,2,2,1,5,3,2,10,1,11
2017/8/22 9:30,3725.2,3728,3725,3725.4,3728,3725.4,68,3729.2,3729,3728.8,3728.2,3728,3725.4,3725,3724.8,3724.2,3723.6,2,2,1,5,1,2,5,1,11,3
2017/8/22 9:30,3725.2,3728,3725,3725.6,3728,3725.6,74,3729.2,3729,3728.8,3728.2,3728,3725.6,3725.4,3725,3724.8,3724.2,2,2,1,5,1,1,2,5,1,11
2017/8/22 9:30,3725.2,3728,3725,3725.6,3727.8,3726,74,3729,3728.8,3728.2,3728,3727.8,3726,3725.8,3725.6,3725.4,3725,2,1,5,1,1,1,2,1,2,5
2017/8/22 9:30,3725.2,3728,3725,3727.6,3726,3725.8,79,3728.8,3728.2,3728,3727.8,3726,3725.8,3725.6,3725.4,3725,3724.8,1,5,1,2,2,2,1,2,5,1
2017/8/22 9:30,3725.2,3728,3725,3726,3727.6,3726.6,82,3728.8,3728.2,3728,3727.8,3727.6,3726.6,3725.8,3725.6,3725.4,3725,1,5,1,1,1,1,1,5,2,5
2017/8/22 9:30,3725.2,3728,3725,3726,3727.2,3726,83,3728,3727.8,3727.6,3727.4,3727.2,3726,3725.8,3725.6,3725.4,3725,1,1,2,3,1,1,1,1,2,5
2017/8/22 9:30,3725.2,3728,3725,3727,3727.6,3725.8,91,3728.8,3728.2,3728,3727.8,3727.6,3725.8,3725.6,3725.4,3725,3724.8,1,5,1,1,1,1,1,2,5,1
2017/8/22 9:30,3725.2,3728,3725,3727.6,3727.8,3727.6,100,3729,3728.8,3728.2,3728,3727.8,3727.6,3725.6,3725.4,3725,3724.8,2,1,5,2,1,1,1,2,5,1
2017/8/22 9:30,3725.2,3728,3725,3725.4,3725.2,3725,105,3728.2,3728,3727.8,3727.6,3725.2,3725,3724.8,3724.4,3724.2,3723.6,5,3,1,7,2,5,1,2,2,2
2017/8/22 9:30,3725.2,3728,3725,3725.2,3727.6,3725,111,3728.6,3728.2,3728,3727.8,3727.6,3725,3724.8,3724.4,3724.2,3723.6,1,5,3,1,6,5,1,2,2,2
2017/8/22 9:30,3725.2,3728,3725,3725,3726.4,3725,113,3727.6,3727.4,3727.2,3726.8,3726.4,3725,3724.8,3724.4,3724.2,3723.6,3,4,1,1,1,4,1,2,2,2
2017/8/22 9:30,3725.2,3728,3725,3725,3726.2,3725.2,116,3727.6,3727.4,3726.8,3726.4,3726.2,3725.2,3725,3724.8,3724.4,3724.2,3,1,2,1,5,2,1,1,2,2
2017/8/22 9:30,3725.2,3728,3725,3725,3726.2,3725.6,116,3727.6,3727.4,3726.8,3726.4,3726.2,3725.6,3725.2,3725,3724.8,3724.4,3,1,2,1,5,2,2,1,1,2
2017/8/22 9:30,3725.2,3728,3725,3725,3726.2,3725.8,117,3727.6,3727.4,3726.8,3726.4,3726.2,3725.8,3725.6,3725.2,3725,3724.8,3,1,2,1,4,1,1,1,1,1
2017/8/22 9:30,3725.2,3728,3725,3725.6,3725.8,3725.2,119,3727.4,3726.8,3726.4,3726.2,3725.8,3725.2,3725,3724.8,3724.4,3724.2,1,2,1,4,1,1,1,1,2,2
2017/8/22 9:30,3725.2,3728,3725,3725,3726.2,3724.8,121,3727.4,3727,3726.8,3726.4,3726.2,3724.8,3724.4,3724.2,3723.6,3723.2,1,1,2,1,6,1,2,2,2,2
2017/8/22 9:30,3725.2,3728,3724.8,3724.8,3726.2,3724.4,123,3727.4,3727,3726.8,3726.4,3726.2,3724.4,3724.2,3723.6,3723.2,3723,1,1,2,1,6,2,2,5,2,4
2017/8/22 9:30,3725.2,3728,3724.8,3724.8,3724.8,3724.4,123,3726.2,3726,3725.8,3725.2,3724.8,3724.4,3724.2,3723.6,3723.2,3723,6,3,1,1,1,2,2,5,2,4
2017/8/22 9:30,3725.2,3728,3724.4,3724.4,3724.4,3724.2,126,3725.8,3725.2,3724.8,3724.6,3724.4,3724.2,3723.6,3723.2,3723,3722.6,5,1,1,1,1,2,2,2,4,3
2017/8/22 9:30,3725.2,3728,3724.2,3724.2,3724.2,3723.6,128,3725.8,3725.2,3724.8,3724.4,3724.2,3723.6,3723.2,3723,3722.6,3722.4,5,7,1,1,2,2,2,4,3,1
2017/8/22 9:30,3725.2,3728,3723.2,3723.2,3723.6,3723.2,131,3724.8,3724.4,3724.2,3724,3723.6,3723.2,3723,3722.6,3722.4,3722.2,1,1,2,1,1,1,4,3,1,1
2017/8/22 9:30,3725.2,3728,3723.2,3723.4,3723.6,3723,133,3725.2,3724.8,3724.4,3724.2,3723.6,3723,3722.6,3722.4,3722.2,3722,7,1,1,1,1,4,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723,3723.6,3723,134,3725.2,3724.8,3724.4,3724.2,3723.6,3723,3722.6,3722.4,3722.2,3722,7,1,1,1,2,3,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723,3723.6,3723.2,135,3725.2,3724.8,3724.4,3724.2,3723.6,3723.2,3723,3722.6,3722.4,3722.2,7,1,1,1,2,1,2,3,1,1
2017/8/22 9:30,3725.2,3728,3723,3723,3723.4,3723,136,3724.8,3724.4,3724.2,3723.6,3723.4,3723,3722.6,3722.4,3722.2,3722,1,1,1,2,1,2,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723,3723.4,3723,136,3725.2,3724.8,3724.2,3723.6,3723.4,3723,3722.6,3722.4,3722.2,3722,7,1,1,2,1,2,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723.4,3723.6,3723,137,3725.8,3725.2,3724.8,3724.2,3723.6,3723,3722.6,3722.4,3722.2,3722,5,7,1,1,2,5,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723.6,3724.2,3723,139,3726,3725.8,3725.2,3724.8,3724.2,3723,3722.6,3722.4,3722.2,3722,3,5,7,1,1,5,3,1,1,3
2017/8/22 9:30,3725.2,3728,3723,3723,3724.2,3723.2,144,3726,3725.8,3725.2,3724.8,3724.2,3723.2,3722.8,3722.6,3722.4,3722.2,3,5,7,1,1,2,1,3,1,1
2017/8/22 9:30,3725.2,3728,3723,3724.2,3724.8,3723.2,146,3726.2,3726,3725.8,3725.2,3724.8,3723.2,3722.8,3722.6,3722.4,3722.2,3,3,5,7,1,2,1,3,1,1
2017/8/22 9:30,3725.2,3728,3723,3724.6,3724.6,3723.4,147,3726,3725.8,3725.2,3724.8,3724.6,3723.4,3723.2,3722.8,3722.6,3722.4,3,4,7,1,1,1,2,1,3,1
2017/8/22 9:30,3725.2,3728,3723,3724.6,3725.2,3723.6,147,3726.4,3726.2,3726,3725.8,3725.2,3723.6,3723.4,3723.2,3722.8,3722.6,1,3,3,4,7,1,1,2,1,3
2017/8/22 9:30,3725.2,3728,3723,3723.6,3725.2,3723.4,150,3726.4,3726.2,3726,3725.8,3725.2,3723.4,3723.2,3722.8,3722.6,3722.4,1,3,3,4,7,1,3,1,3,1
2017/8/22 9:30,3725.2,3728,3723,3723.6,3725.2,3723.6,150,3726.4,3726.2,3726,3725.8,3725.2,3723.6,3723.4,3723.2,3722.8,3722.6,1,3,3,4,7,1,1,3,1,3
2017/8/22 9:30,3725.2,3728,3723,3723.6,3725,3723.8,150,3726.2,3726,3725.8,3725.2,3725,3723.8,3723.6,3723.4,3723.2,3722.8,3,3,4,7,5,2,1,1,3,1
2017/8/22 9:30,3725.2,3728,3723,3723.6,3724.6,3723.8,151,3725.8,3725.2,3725,3724.8,3724.6,3723.8,3723.6,3723.2,3722.8,3722.6,4,7,7,1,1,1,1,3,1,3
2017/8/22 9:30,3725.2,3728,3723,3723.6,3724.6,3724,151,3725.6,3725.2,3725,3724.8,3724.6,3724,3723.8,3723.6,3723.2,3722.8,1,7,7,2,1,1,1,4,3,1
2017/8/22 9:30,3725.2,3728,3723,3723.6,3724.4,3724,151,3725.2,3725,3724.8,3724.6,3724.4,3724,3723.6,3723.2,3722.8,3722.6,8,7,1,1,2,1,4,3,1,3
2017/8/22 9:30,3725.2,3728,3723,3724,3724.4,3723.6,153,3725.2,3725,3724.8,3724.6,3724.4,3723.6,3723.2,3722.8,3722.6,3722.2,8,7,1,1,3,4,2,1,3,1
2017/8/22 9:30,3725.2,3728,3723,3724,3724.4,3723.6,153,3725.2,3725,3724.8,3724.6,3724.4,3723.6,3723.2,3722.8,3722.6,3722.2,7,7,1,1,3,4,2,1,3,1
2017/8/22 9:30,3725.2,3728,3723,3724.4,3724.4,3723.8,154,3725.2,3725,3724.8,3724.6,3724.4,3723.8,3723.6,3723.2,3722.8,3722.6,7,7,1,1,2,1,4,2,1,3
2017/8/22 9:30,3725.2,3728,3723,3724.4,3724.4,3723.8,155,3725.2,3725,3724.8,3724.6,3724.4,3723.8,3723.6,3723.2,3722.8,3722.6,7,7,1,1,1,1,3,2,1,3
